time,strain,strain_uncertainty,event_id,source_status
0.00,1.000,0.050,GW150914_fixture,fixture_only
0.05,0.620,0.050,GW150914_fixture,fixture_only
0.10,0.120,0.050,GW150914_fixture,fixture_only
0.15,-0.290,0.050,GW150914_fixture,fixture_only
0.20,-0.450,0.050,GW150914_fixture,fixture_only
0.25,-0.300,0.050,GW150914_fixture,fixture_only
0.30,-0.020,0.050,GW150914_fixture,fixture_only
0.35,0.200,0.050,GW150914_fixture,fixture_only
0.40,0.270,0.050,GW150914_fixture,fixture_only
0.45,0.190,0.050,GW150914_fixture,fixture_only
0.50,0.030,0.050,GW150914_fixture,fixture_only
0.55,-0.120,0.050,GW150914_fixture,fixture_only
0.60,-0.160,0.050,GW150914_fixture,fixture_only
0.65,-0.110,0.050,GW150914_fixture,fixture_only
0.70,-0.020,0.050,GW150914_fixture,fixture_only
