sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,input_frequency_hz,reconstructed_frequency_hz
0,0,low_250_hz,0,low_250_hz,0.9373869895935059,True,253.90625,250.0
1,0,low_250_hz,0,low_250_hz,0.9409692287445068,True,250.0,250.0
2,0,low_250_hz,0,low_250_hz,0.9414409399032593,True,246.09375,250.0
3,0,low_250_hz,0,low_250_hz,0.9414578676223755,True,246.09375,250.0
4,0,low_250_hz,0,low_250_hz,0.9416235685348511,True,250.0,250.0
5,0,low_250_hz,0,low_250_hz,0.9414582848548889,True,246.09375,250.0
6,0,low_250_hz,0,low_250_hz,0.9373669028282166,True,253.90625,250.0
7,0,low_250_hz,0,low_250_hz,0.9414432048797607,True,246.09375,250.0
8,1,middle_500_hz,1,middle_500_hz,0.9558396339416504,True,503.90625,500.0
9,1,middle_500_hz,1,middle_500_hz,0.9557288289070129,True,500.0,500.0
10,1,middle_500_hz,1,middle_500_hz,0.9517382979393005,True,496.09375,500.0
11,1,middle_500_hz,1,middle_500_hz,0.9558454751968384,True,507.8125,500.0
12,1,middle_500_hz,1,middle_500_hz,0.9559624791145325,True,503.90625,500.0
13,1,middle_500_hz,1,middle_500_hz,0.946994960308075,True,492.1875,500.0
14,1,middle_500_hz,1,middle_500_hz,0.955883264541626,True,500.0,500.0
15,1,middle_500_hz,1,middle_500_hz,0.9558436274528503,True,500.0,500.0
16,2,high_1000_hz,2,high_1000_hz,0.9988067150115967,True,1003.90625,1000.0
17,2,high_1000_hz,2,high_1000_hz,0.9987941980361938,True,1000.0,1000.0
18,2,high_1000_hz,2,high_1000_hz,0.9988064765930176,True,1003.90625,1000.0
19,2,high_1000_hz,2,high_1000_hz,0.9986681938171387,True,996.09375,1000.0
20,2,high_1000_hz,2,high_1000_hz,0.9988112449645996,True,1007.8125,1000.0
21,2,high_1000_hz,2,high_1000_hz,0.9985136389732361,True,992.1875,1000.0
22,2,high_1000_hz,2,high_1000_hz,0.9988018274307251,True,1000.0,1000.0
23,2,high_1000_hz,2,high_1000_hz,0.9986672401428223,True,996.09375,1000.0
