sample,true_index,true_label,predicted_index,predicted_label,confidence,correct
0,0,red,0,red,0.998085618019104,True
1,0,red,0,red,0.9981054067611694,True
2,0,red,0,red,0.9981184005737305,True
3,0,red,0,red,0.9980831146240234,True
4,0,red,0,red,0.9980788230895996,True
5,0,red,0,red,0.9981056451797485,True
6,0,red,0,red,0.998113751411438,True
7,0,red,0,red,0.9980742931365967,True
8,1,green,1,green,0.9980276226997375,True
9,1,green,1,green,0.998089611530304,True
10,1,green,1,green,0.9980904459953308,True
11,1,green,1,green,0.9980779886245728,True
12,1,green,1,green,0.9981239438056946,True
13,1,green,1,green,0.9980466365814209,True
14,1,green,1,green,0.998047947883606,True
15,1,green,1,green,0.9980403780937195,True
16,2,blue,2,blue,0.9981250166893005,True
17,2,blue,2,blue,0.998130738735199,True
18,2,blue,2,blue,0.9980011582374573,True
19,2,blue,2,blue,0.9981061220169067,True
20,2,blue,2,blue,0.9981308579444885,True
21,2,blue,2,blue,0.9981275200843811,True
22,2,blue,2,blue,0.9981117248535156,True
23,2,blue,2,blue,0.9980006814002991,True
24,3,cyan,3,cyan,0.9995893836021423,True
25,3,cyan,3,cyan,0.9995937943458557,True
26,3,cyan,3,cyan,0.9996070265769958,True
27,3,cyan,3,cyan,0.9995997548103333,True
28,3,cyan,3,cyan,0.9995914101600647,True
29,3,cyan,3,cyan,0.9995881915092468,True
30,3,cyan,3,cyan,0.9996041655540466,True
31,3,cyan,3,cyan,0.9995831847190857,True
32,4,magenta,4,magenta,0.9995983242988586,True
33,4,magenta,4,magenta,0.9995966553688049,True
34,4,magenta,4,magenta,0.9995961785316467,True
35,4,magenta,4,magenta,0.9995983242988586,True
36,4,magenta,4,magenta,0.9995967745780945,True
37,4,magenta,4,magenta,0.9995920062065125,True
38,4,magenta,4,magenta,0.9995965361595154,True
39,4,magenta,4,magenta,0.9995927214622498,True
40,5,yellow,5,yellow,0.9995993971824646,True
41,5,yellow,5,yellow,0.9995892643928528,True
42,5,yellow,5,yellow,0.9995861649513245,True
43,5,yellow,5,yellow,0.9995973706245422,True
44,5,yellow,5,yellow,0.999599039554596,True
45,5,yellow,5,yellow,0.9995948672294617,True
46,5,yellow,5,yellow,0.9995974898338318,True
47,5,yellow,5,yellow,0.99957674741745,True
