day,avg_relative_entropy
0,3.4985877579394123e-06
1,3.895643468551835e-06
2,3.22628205637031e-06
3,2.8241331654334985e-06
4,2.453213472744152e-06
5,2.6693282575405056e-06
6,2.5895746020678085e-06
7,2.3988005048157786e-06
8,2.8376436014553304e-06
9,2.5375750003832303e-06
10,2.549182720053785e-06
11,2.689441455109579e-06
12,2.5394179973016277e-06
13,2.1527594595394553e-06
14,1.922944816999321e-06
15,2.2304830520427963e-06
16,2.1322925447350492e-06
17,1.7925021239047184e-06
18,2.68104237640908e-06
19,1.985541765608031e-06
20,2.207492855712008e-06
21,2.0917680833868573e-06
22,1.9868766276045156e-06
23,1.8629963404523085e-06
24,1.6060525585040041e-06
25,1.4898824764288239e-06
26,1.3738498538374212e-06
27,1.4487680395282839e-06
28,1.5053210964760868e-06
29,1.2404998624326468e-06
30,1.2813883142616115e-06
31,1.1336331191321922e-06
32,1.1153717175086189e-06
33,1.0206698742822748e-06
34,9.601751752487882e-07
35,1.1076257257168582e-06
36,1.2365831003067242e-06
37,1.1778688904374192e-06
38,1.0146215878998334e-06
39,8.765770333101906e-07
40,9.494522992047601e-07
41,9.131692992149627e-07
42,1.202174751358422e-06
43,9.156238451105928e-07
44,1.0188440523305917e-06
45,8.609712938707519e-07
46,7.969243161208834e-07
47,7.297751966311882e-07
48,7.293144660935757e-07
49,7.925613635879383e-07
50,7.950479447705307e-07
51,7.665363028730309e-07
52,8.000014186082449e-07
53,7.176414567600098e-07
54,7.631858715473027e-07
55,8.613441034943971e-07
56,6.913787478891513e-07
57,7.754694642518806e-07
58,7.501265982058675e-07
59,8.274551936591916e-07
60,9.062718235756788e-07
61,8.818424881404843e-07
62,8.892202921467639e-07
63,7.447744620561558e-07
64,6.104478075451241e-07
65,6.865902077760802e-07
66,7.314415214536235e-07
67,6.800908241225446e-07
68,7.131629250841997e-07
69,7.205573164337588e-07
70,6.409773203197086e-07
71,6.404782201261385e-07
72,6.591784906688297e-07
73,6.045908489409353e-07
74,6.179099247062553e-07
75,5.862011042299768e-07
76,6.35091533070337e-07
77,6.414483088425455e-07
78,5.922374115908952e-07
79,5.719558146448261e-07
80,6.392674412569609e-07
81,6.664951594615289e-07
82,6.269835946405873e-07
83,5.622559429669786e-07
84,5.889373748632999e-07
85,6.091262127741994e-07
86,6.163063437269621e-07
87,7.709167821758374e-07
88,6.512800587536264e-07
89,5.371160920020614e-07
90,5.885728920066415e-07
91,5.98474363310371e-07
92,6.175324292367444e-07
93,4.893498867598962e-07
94,5.190353822359929e-07
95,5.382835610514299e-07
96,5.748322585358e-07
97,5.767459201643362e-07
98,5.351028981717676e-07
99,6.445573511882957e-07
100,6.168188201316482e-07
101,6.106860263599457e-07
102,6.183216092514776e-07
103,6.870932258512875e-07
104,5.34917709679159e-07
105,5.334688434622863e-07
106,5.732704940258035e-07
107,5.977583173170111e-07
108,6.011113339745096e-07
109,6.590973891305823e-07
110,6.43275230135507e-07
111,5.630247104766923e-07
