index,prime,gap,motif,run,domain
1,2,,U1,1,U1
2,3,1.0,U1,2,U1
3,5,2.0,E1.0,1,E1
4,7,2.0,E1.0,2,E1
5,11,4.0,E1.1,1,E1
6,13,2.0,E1.0,3,E1
7,17,4.0,E1.1,2,E1
8,19,2.0,E1.0,4,E1
9,23,4.0,E1.1,3,E1
10,29,6.0,E2.0,1,E2
11,31,2.0,E1.0,5,E1
12,37,6.0,E2.0,2,E2
13,41,4.0,E1.1,4,E1
14,43,2.0,E1.0,6,E1
15,47,4.0,E1.1,5,E1
16,53,6.0,E2.0,3,E2
17,59,6.0,E2.0,4,E2
18,61,2.0,E1.0,7,E1
19,67,6.0,E2.0,5,E2
20,71,4.0,E1.1,6,E1
21,73,2.0,E1.0,8,E1
22,79,6.0,E2.0,6,E2
23,83,4.0,E1.1,7,E1
24,89,6.0,E2.0,7,E2
25,97,8.0,E1.2,1,E1
26,101,4.0,E1.1,8,E1
27,103,2.0,E1.0,9,E1
28,107,4.0,E1.1,9,E1
29,109,2.0,E1.0,10,E1
30,113,4.0,E1.1,10,E1
31,127,14.0,E2.2,1,E2
32,131,4.0,E1.1,11,E1
33,137,6.0,E2.0,8,E2
34,139,2.0,E1.0,11,E1
35,149,10.0,E2.1,1,E2
36,151,2.0,E1.0,12,E1
37,157,6.0,E2.0,9,E2
38,163,6.0,E2.0,10,E2
39,167,4.0,E1.1,12,E1
40,173,6.0,E2.0,11,E2
41,179,6.0,E2.0,12,E2
42,181,2.0,E1.0,13,E1
43,191,10.0,E2.1,2,E2
44,193,2.0,E1.0,14,E1
45,197,4.0,E1.1,13,E1
46,199,2.0,E1.0,15,E1
47,211,12.0,E3.0,1,E3
48,223,12.0,E3.0,2,E3
49,227,4.0,E1.1,14,E1
50,229,2.0,E1.0,16,E1
51,233,4.0,E1.1,15,E1
52,239,6.0,E2.0,13,E2
53,241,2.0,E1.0,17,E1
54,251,10.0,E2.1,3,E2
55,257,6.0,E2.0,14,E2
56,263,6.0,E2.0,15,E2
57,269,6.0,E2.0,16,E2
58,271,2.0,E1.0,18,E1
59,277,6.0,E2.0,17,E2
60,281,4.0,E1.1,16,E1
61,283,2.0,E1.0,19,E1
62,293,10.0,E2.1,4,E2
63,307,14.0,E2.2,2,E2
64,311,4.0,E1.1,17,E1
65,313,2.0,E1.0,20,E1
66,317,4.0,E1.1,18,E1
67,331,14.0,E2.2,3,E2
68,337,6.0,E2.0,18,E2
69,347,10.0,E2.1,5,E2
70,349,2.0,E1.0,21,E1
71,353,4.0,E1.1,19,E1
72,359,6.0,E2.0,19,E2
73,367,8.0,E1.2,2,E1
74,373,6.0,E2.0,20,E2
75,379,6.0,E2.0,21,E2
76,383,4.0,E1.1,20,E1
77,389,6.0,E2.0,22,E2
78,397,8.0,E1.2,3,E1
79,401,4.0,E1.1,21,E1
80,409,8.0,E1.2,4,E1
81,419,10.0,E2.1,6,E2
82,421,2.0,E1.0,22,E1
83,431,10.0,E2.1,7,E2
84,433,2.0,E1.0,23,E1
85,439,6.0,E2.0,23,E2
86,443,4.0,E1.1,22,E1
87,449,6.0,E2.0,24,E2
88,457,8.0,E1.2,5,E1
89,461,4.0,E1.1,23,E1
90,463,2.0,E1.0,24,E1
91,467,4.0,E1.1,24,E1
92,479,12.0,E3.0,3,E3
93,487,8.0,E1.2,6,E1
94,491,4.0,E1.1,25,E1
95,499,8.0,E1.2,7,E1
96,503,4.0,E1.1,26,E1
97,509,6.0,E2.0,25,E2
98,521,12.0,E3.0,4,E3
99,523,2.0,E1.0,25,E1
100,541,18.0,E2.3,1,E2
101,547,6.0,E2.0,26,E2
102,557,10.0,E2.1,8,E2
103,563,6.0,E2.0,27,E2
104,569,6.0,E2.0,28,E2
105,571,2.0,E1.0,26,E1
106,577,6.0,E2.0,29,E2
107,587,10.0,E2.1,9,E2
108,593,6.0,E2.0,30,E2
109,599,6.0,E2.0,31,E2
110,601,2.0,E1.0,27,E1
111,607,6.0,E2.0,32,E2
112,613,6.0,E2.0,33,E2
113,617,4.0,E1.1,27,E1
114,619,2.0,E1.0,28,E1
115,631,12.0,E3.0,5,E3
116,641,10.0,E2.1,10,E2
117,643,2.0,E1.0,29,E1
118,647,4.0,E1.1,28,E1
119,653,6.0,E2.0,34,E2
120,659,6.0,E2.0,35,E2
121,661,2.0,E1.0,30,E1
122,673,12.0,E3.0,6,E3
123,677,4.0,E1.1,29,E1
124,683,6.0,E2.0,36,E2
125,691,8.0,E1.2,8,E1
126,701,10.0,E2.1,11,E2
127,709,8.0,E1.2,9,E1
128,719,10.0,E2.1,12,E2
129,727,8.0,E1.2,10,E1
130,733,6.0,E2.0,37,E2
131,739,6.0,E2.0,38,E2
132,743,4.0,E1.1,30,E1
133,751,8.0,E1.2,11,E1
134,757,6.0,E2.0,39,E2
135,761,4.0,E1.1,31,E1
136,769,8.0,E1.2,12,E1
137,773,4.0,E1.1,32,E1
138,787,14.0,E2.2,4,E2
139,797,10.0,E2.1,13,E2
140,809,12.0,E3.0,7,E3
141,811,2.0,E1.0,31,E1
142,821,10.0,E2.1,14,E2
143,823,2.0,E1.0,32,E1
144,827,4.0,E1.1,33,E1
145,829,2.0,E1.0,33,E1
146,839,10.0,E2.1,15,E2
147,853,14.0,E2.2,5,E2
148,857,4.0,E1.1,34,E1
149,859,2.0,E1.0,34,E1
150,863,4.0,E1.1,35,E1
151,877,14.0,E2.2,6,E2
152,881,4.0,E1.1,36,E1
153,883,2.0,E1.0,35,E1
154,887,4.0,E1.1,37,E1
155,907,20.0,E3.1,1,E3
156,911,4.0,E1.1,38,E1
157,919,8.0,E1.2,13,E1
158,929,10.0,E2.1,16,E2
159,937,8.0,E1.2,14,E1
160,941,4.0,E1.1,39,E1
161,947,6.0,E2.0,40,E2
162,953,6.0,E2.0,41,E2
163,967,14.0,E2.2,7,E2
164,971,4.0,E1.1,40,E1
165,977,6.0,E2.0,42,E2
166,983,6.0,E2.0,43,E2
167,991,8.0,E1.2,15,E1
168,997,6.0,E2.0,44,E2
169,1009,12.0,E3.0,8,E3
170,1013,4.0,E1.1,41,E1
171,1019,6.0,E2.0,45,E2
172,1021,2.0,E1.0,36,E1
173,1031,10.0,E2.1,17,E2
174,1033,2.0,E1.0,37,E1
175,1039,6.0,E2.0,46,E2
176,1049,10.0,E2.1,18,E2
177,1051,2.0,E1.0,38,E1
178,1061,10.0,E2.1,19,E2
179,1063,2.0,E1.0,39,E1
180,1069,6.0,E2.0,47,E2
181,1087,18.0,E2.3,2,E2
182,1091,4.0,E1.1,42,E1
183,1093,2.0,E1.0,40,E1
184,1097,4.0,E1.1,43,E1
185,1103,6.0,E2.0,48,E2
186,1109,6.0,E2.0,49,E2
187,1117,8.0,E1.2,16,E1
188,1123,6.0,E2.0,50,E2
189,1129,6.0,E2.0,51,E2
190,1151,22.0,E2.4,1,E2
191,1153,2.0,E1.0,41,E1
192,1163,10.0,E2.1,20,E2
193,1171,8.0,E1.2,17,E1
194,1181,10.0,E2.1,21,E2
195,1187,6.0,E2.0,52,E2
196,1193,6.0,E2.0,53,E2
197,1201,8.0,E1.2,18,E1
198,1213,12.0,E3.0,9,E3
199,1217,4.0,E1.1,44,E1
200,1223,6.0,E2.0,54,E2
201,1229,6.0,E2.0,55,E2
202,1231,2.0,E1.0,42,E1
203,1237,6.0,E2.0,56,E2
204,1249,12.0,E3.0,10,E3
205,1259,10.0,E2.1,22,E2
206,1277,18.0,E2.3,3,E2
207,1279,2.0,E1.0,43,E1
208,1283,4.0,E1.1,45,E1
209,1289,6.0,E2.0,57,E2
210,1291,2.0,E1.0,44,E1
211,1297,6.0,E2.0,58,E2
212,1301,4.0,E1.1,46,E1
213,1303,2.0,E1.0,45,E1
214,1307,4.0,E1.1,47,E1
215,1319,12.0,E3.0,11,E3
216,1321,2.0,E1.0,46,E1
217,1327,6.0,E2.0,59,E2
218,1361,34.0,E2.7,1,E2
219,1367,6.0,E2.0,60,E2
220,1373,6.0,E2.0,61,E2
221,1381,8.0,E1.2,19,E1
222,1399,18.0,E2.3,4,E2
223,1409,10.0,E2.1,23,E2
224,1423,14.0,E2.2,8,E2
225,1427,4.0,E1.1,48,E1
226,1429,2.0,E1.0,47,E1
227,1433,4.0,E1.1,49,E1
228,1439,6.0,E2.0,62,E2
229,1447,8.0,E1.2,20,E1
230,1451,4.0,E1.1,50,E1
231,1453,2.0,E1.0,48,E1
232,1459,6.0,E2.0,63,E2
233,1471,12.0,E3.0,12,E3
234,1481,10.0,E2.1,24,E2
235,1483,2.0,E1.0,49,E1
236,1487,4.0,E1.1,51,E1
237,1489,2.0,E1.0,50,E1
238,1493,4.0,E1.1,52,E1
239,1499,6.0,E2.0,64,E2
240,1511,12.0,E3.0,13,E3
241,1523,12.0,E3.0,14,E3
242,1531,8.0,E1.2,21,E1
243,1543,12.0,E3.0,15,E3
244,1549,6.0,E2.0,65,E2
245,1553,4.0,E1.1,53,E1
246,1559,6.0,E2.0,66,E2
247,1567,8.0,E1.2,22,E1
248,1571,4.0,E1.1,54,E1
249,1579,8.0,E1.2,23,E1
250,1583,4.0,E1.1,55,E1
251,1597,14.0,E2.2,9,E2
252,1601,4.0,E1.1,56,E1
253,1607,6.0,E2.0,67,E2
254,1609,2.0,E1.0,51,E1
255,1613,4.0,E1.1,57,E1
256,1619,6.0,E2.0,68,E2
257,1621,2.0,E1.0,52,E1
258,1627,6.0,E2.0,69,E2
259,1637,10.0,E2.1,25,E2
260,1657,20.0,E3.1,2,E3
