index,prime,gap,motif,parity,regime,domain
1,2,,U1,1,1,U
2,3,1,U1,1,0,U
3,5,2,E1.0,-1,0,E
4,7,2,E1.0,1,0,E
5,11,4,E1.1,-1,0,E
6,13,2,E1.0,1,1,E
7,17,4,E1.1,-1,0,E
8,19,2,E1.0,1,1,E
9,23,4,E1.1,-1,0,E
10,29,6,E2.0,1,0,E
11,31,2,E1.0,-1,1,E
12,37,6,E2.0,1,0,E
13,41,4,E1.1,-1,0,E
14,43,2,E1.0,1,0,E
15,47,4,E1.1,-1,0,E
16,53,6,E2.0,1,0,E
17,59,6,E2.0,-1,0,E
18,61,2,E1.0,1,0,E
19,67,6,E2.0,-1,0,E
20,71,4,E1.1,1,0,E
21,73,2,E1.0,-1,0,E
22,79,6,E2.0,1,0,E
23,83,4,E1.1,-1,0,E
24,89,6,E2.0,1,0,E
25,97,8,E1.2,-1,1,E
26,101,4,E1.1,1,0,E
27,103,2,E1.0,-1,0,E
28,107,4,E1.1,1,0,E
29,109,2,E1.0,-1,0,E
30,113,4,E1.1,1,0,E
31,127,14,E2.2,-1,0,E
32,131,4,E1.1,1,0,E
