sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,roundtrip_label
0,0,red,0,red,0.998085618019104,True,red
1,0,red,0,red,0.9981054067611694,True,red
2,0,red,0,red,0.9981184005737305,True,red
3,0,red,0,red,0.9980831146240234,True,red
4,0,red,0,red,0.9980788230895996,True,red
5,0,red,0,red,0.9981056451797485,True,red
6,0,red,0,red,0.998113751411438,True,red
7,0,red,0,red,0.9980742931365967,True,red
8,1,green,1,green,0.9980276226997375,True,green
9,1,green,1,green,0.998089611530304,True,green
10,1,green,1,green,0.9980904459953308,True,green
11,1,green,1,green,0.9980779886245728,True,green
12,1,green,1,green,0.9981239438056946,True,green
13,1,green,1,green,0.9980466365814209,True,green
14,1,green,1,green,0.998047947883606,True,green
15,1,green,1,green,0.9980403780937195,True,green
16,2,blue,2,blue,0.9981250166893005,True,blue
17,2,blue,2,blue,0.998130738735199,True,blue
18,2,blue,2,blue,0.9980011582374573,True,blue
19,2,blue,2,blue,0.9981061220169067,True,blue
20,2,blue,2,blue,0.9981308579444885,True,blue
21,2,blue,2,blue,0.9981275200843811,True,blue
22,2,blue,2,blue,0.9981117248535156,True,blue
23,2,blue,2,blue,0.9980006814002991,True,blue
24,3,cyan,3,cyan,0.9995893836021423,True,cyan
25,3,cyan,3,cyan,0.9995937943458557,True,cyan
26,3,cyan,3,cyan,0.9996070265769958,True,cyan
27,3,cyan,3,cyan,0.9995997548103333,True,cyan
28,3,cyan,3,cyan,0.9995914101600647,True,cyan
29,3,cyan,3,cyan,0.9995881915092468,True,cyan
30,3,cyan,3,cyan,0.9996041655540466,True,cyan
31,3,cyan,3,cyan,0.9995831847190857,True,cyan
32,4,magenta,4,magenta,0.9995983242988586,True,magenta
33,4,magenta,4,magenta,0.9995966553688049,True,magenta
34,4,magenta,4,magenta,0.9995961785316467,True,magenta
35,4,magenta,4,magenta,0.9995983242988586,True,magenta
36,4,magenta,4,magenta,0.9995967745780945,True,magenta
37,4,magenta,4,magenta,0.9995920062065125,True,magenta
38,4,magenta,4,magenta,0.9995965361595154,True,magenta
39,4,magenta,4,magenta,0.9995927214622498,True,magenta
40,5,yellow,5,yellow,0.9995993971824646,True,yellow
41,5,yellow,5,yellow,0.9995892643928528,True,yellow
42,5,yellow,5,yellow,0.9995861649513245,True,yellow
43,5,yellow,5,yellow,0.9995973706245422,True,yellow
44,5,yellow,5,yellow,0.999599039554596,True,yellow
45,5,yellow,5,yellow,0.9995948672294617,True,yellow
46,5,yellow,5,yellow,0.9995974898338318,True,yellow
47,5,yellow,5,yellow,0.99957674741745,True,yellow
