sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,input_frequency_hz,reconstructed_frequency_hz
0,0,low_250_hz,0,low_250_hz,0.9324508905410767,True,257.8125,250.0
1,0,low_250_hz,0,low_250_hz,0.9417362809181213,True,250.0,250.0
2,0,low_250_hz,0,low_250_hz,0.9325500726699829,True,257.8125,250.0
3,0,low_250_hz,0,low_250_hz,0.9414570331573486,True,246.09375,250.0
4,0,low_250_hz,0,low_250_hz,0.941380500793457,True,250.0,250.0
5,0,low_250_hz,0,low_250_hz,0.9273130297660828,True,261.71875,250.0
6,0,low_250_hz,0,low_250_hz,0.9414350390434265,True,246.09375,250.0
7,0,low_250_hz,0,low_250_hz,0.9418777227401733,True,250.0,250.0
8,1,middle_500_hz,1,middle_500_hz,0.9559599757194519,True,503.90625,500.0
9,1,middle_500_hz,1,middle_500_hz,0.9559530019760132,True,503.90625,500.0
10,1,middle_500_hz,1,middle_500_hz,0.9559078812599182,True,500.0,500.0
11,1,middle_500_hz,1,middle_500_hz,0.9517324566841125,True,496.09375,500.0
12,1,middle_500_hz,1,middle_500_hz,0.9517346024513245,True,496.09375,500.0
13,1,middle_500_hz,1,middle_500_hz,0.9558109641075134,True,500.0,500.0
14,1,middle_500_hz,1,middle_500_hz,0.9556476473808289,True,500.0,500.0
15,1,middle_500_hz,1,middle_500_hz,0.9514500498771667,True,496.09375,500.0
16,2,high_1000_hz,2,high_1000_hz,0.9986686706542969,True,996.09375,1000.0
17,2,high_1000_hz,2,high_1000_hz,0.9986629486083984,True,996.09375,1000.0
18,2,high_1000_hz,2,high_1000_hz,0.9986683130264282,True,996.09375,1000.0
19,2,high_1000_hz,2,high_1000_hz,0.9986671209335327,True,996.09375,1000.0
20,2,high_1000_hz,2,high_1000_hz,0.9986681938171387,True,996.09375,1000.0
21,2,high_1000_hz,2,high_1000_hz,0.9987838864326477,True,1000.0,1000.0
22,2,high_1000_hz,2,high_1000_hz,0.9988043308258057,True,1000.0,1000.0
23,2,high_1000_hz,2,high_1000_hz,0.998515784740448,True,992.1875,1000.0
