epoch,active_clusters,growth_events,local_free_energy,global_free_energy
0,6,48,-2.0844008922576904,-5.954592227935791
1,6,48,-2.9272239208221436,-6.855783939361572
2,12,48,-3.511805772781372,-7.898894309997559
3,12,48,-3.8596601486206055,-9.044153213500977
4,12,48,-4.029144763946533,-10.199723243713379
5,18,48,-4.083432197570801,-11.1969575881958
6,18,48,-4.079439163208008,-11.769756317138672
7,18,48,-4.065289497375488,-11.905107498168945
8,18,48,-4.051177978515625,-11.715627670288086
9,20,48,-4.01439905166626,-11.315631866455078
10,21,48,-3.9417343139648438,-10.797698974609375
11,22,48,-3.835845947265625,-10.239076614379883
12,24,48,-3.69107985496521,-9.729413032531738
13,24,48,-3.5129854679107666,-9.351845741271973
14,24,48,-3.3377506732940674,-9.104686737060547
15,24,48,-3.1869394779205322,-8.975934982299805
16,24,48,-3.024815797805786,-8.977302551269531
17,24,48,-2.913395881652832,-9.09515380859375
18,24,48,-2.8273353576660156,-9.29869556427002
19,24,48,-2.745630979537964,-9.566187858581543
20,24,48,-2.690624475479126,-9.87800407409668
21,24,48,-2.730506658554077,-10.195205688476562
22,24,48,-2.830888032913208,-10.45358657836914
23,24,48,-2.863234281539917,-10.617477416992188
24,24,48,-2.88409423828125,-10.679588317871094
25,24,48,-2.9823362827301025,-10.642956733703613
26,24,48,-3.1737544536590576,-10.521411895751953
27,24,48,-3.406688928604126,-10.34123420715332
28,24,48,-3.6095077991485596,-10.14998722076416
29,24,48,-3.740766763687134,-9.993911743164062
30,24,48,-3.803659439086914,-9.894491195678711
31,24,48,-3.8239729404449463,-9.857512474060059
32,24,48,-3.8156135082244873,-9.886876106262207
33,24,48,-3.775332450866699,-9.978304862976074
34,24,48,-3.722909927368164,-10.102900505065918
35,24,48,-3.681380033493042,-10.206666946411133
36,24,48,-3.6373214721679688,-10.250794410705566
37,24,48,-3.597024917602539,-10.21970272064209
38,24,48,-3.545781135559082,-10.122026443481445
39,24,48,-3.484551429748535,-9.985286712646484
