cluster_id,modality,usage_count,mean_connectivity
0,color,16,0.29986312985420227
1,sound,20,0.3219347894191742
2,vision,20,0.3203919529914856
3,color,16,0.3114902377128601
4,sound,12,0.3024667501449585
5,vision,12,0.301484078168869
6,color,32,0.34303876757621765
7,sound,32,0.35746169090270996
8,vision,32,0.35531148314476013
9,color,20,0.370198130607605
10,sound,16,0.36990514397621155
11,vision,16,0.3674456775188446
12,color,76,0.22215063869953156
13,sound,420,0.2012936919927597
14,vision,348,0.189197838306427
15,color,16,0.30770596861839294
16,sound,20,0.30507567524909973
17,vision,88,0.16496877372264862
18,color,12,0.21053524315357208
19,vision,124,0.1853874772787094
20,sound,120,0.19085483253002167
21,color,116,0.10676775127649307
22,color,224,0.15463294088840485
23,color,112,0.1848617047071457
