source_index,target_index,source_prime,target_prime,canonical_weight,spatial_weight,distance_3d
0,1,2,3,0.25,0.15442633628845215,0.49277013540267944
0,2,2,5,0.1666666716337204,0.05764968693256378,1.4219070672988892
1,2,3,5,0.125,0.04962054640054703,1.12677800655365
1,3,3,7,0.25,0.10015210509300232,1.1098453998565674
1,4,3,11,0.25,0.08394968509674072,1.4988389015197754
2,3,5,7,0.125,0.09043270349502563,0.3180108666419983
2,5,5,13,0.1666666716337204,0.09490102529525757,0.590121328830719
2,6,5,17,0.1666666716337204,0.06096906214952469,1.2914525270462036
2,9,5,29,0.25,0.08860360831022263,1.3630881309509277
2,17,5,61,0.0714285746216774,0.024389050900936127,1.454765796661377
3,4,7,11,0.25,0.1606481671333313,0.4474948048591614
3,5,7,13,0.25,0.13485369086265564,0.658287763595581
3,7,7,19,0.3333333432674408,0.19247554242610931,0.5729761719703674
3,10,7,31,0.125,0.0589696429669857,0.8423722386360168
4,5,11,13,0.0833333358168602,0.03972568362951279,0.8271071910858154
4,7,11,19,0.125,0.07062840461730957,0.599664568901062
4,8,11,23,0.3333333432674408,0.2053692787885666,0.4957800805568695
4,14,11,47,0.20000000298023224,0.09036293625831604,0.9075177907943726
5,6,13,17,0.0833333358168602,0.03931910917162895,0.8421474099159241
5,9,13,29,0.1666666716337204,0.06610024720430374,1.128487229347229
5,11,13,37,0.25,0.09808112680912018,1.148956060409546
5,12,13,41,0.125,0.05754370614886284,0.8788822889328003
5,17,13,61,0.20000000298023224,0.09256353229284286,0.8708181977272034
6,7,17,19,0.0416666679084301,0.016287127509713173,1.1559542417526245
6,12,17,41,0.1666666716337204,0.10124960541725159,0.5122330188751221
7,8,19,23,0.25,0.1735638678073883,0.36202821135520935
7,10,19,31,0.25,0.18931013345718384,0.27036866545677185
7,13,19,43,0.3333333432674408,0.2126757800579071,0.45558106899261475
7,16,19,59,0.25,0.09728053212165833,1.1646889448165894
8,9,23,29,0.0416666679084301,0.02191290073096752,0.6913244724273682
8,14,23,47,0.3333333432674408,0.22001878917217255,0.41740694642066956
8,19,23,71,0.125,0.06819050759077072,0.643846333026886
9,10,29,31,0.02500000037252903,0.010653575882315636,1.001574993133545
9,11,29,37,0.5,0.39734530448913574,0.22112376987934113
9,15,29,53,0.3333333432674408,0.2151707410812378,0.4423726201057434
10,11,31,37,0.03125,0.01322254166007042,1.0135372877120972
10,13,31,43,0.25,0.20587103068828583,0.18551203608512878
10,16,31,59,0.25,0.10302373766899109,1.0590336322784424
10,18,31,67,0.5,0.20370380580425262,1.0793195962905884
11,12,37,41,0.0416666679084301,0.01835501752793789,0.9473316073417664
11,15,37,53,0.5,0.39448338747024536,0.2284269779920578
12,13,41,43,0.0555555559694767,0.026784559711813927,0.8107921481132507
12,20,41,73,0.20000000298023224,0.12057898193597794,0.5211915373802185
12,23,41,89,0.0625,0.030166111886501312,0.8091984391212463
13,14,43,47,0.25,0.1765805035829544,0.3435014486312866
14,15,47,53,0.0416666679084301,0.021448597311973572,0.7198247313499451
14,19,47,71,0.25,0.19734397530555725,0.2279023826122284
14,22,47,83,0.3333333432674408,0.23939494788646698,0.32575902342796326
15,16,53,59,0.125,0.08779293298721313,0.3495553731918335
16,17,59,61,0.03125,0.011977706104516983,1.194312572479248
16,18,59,67,0.5,0.4471169710159302,0.10508909821510315
16,21,59,79,0.1666666716337204,0.1333308219909668,0.21443669497966766
17,18,61,67,0.0416666679084301,0.016312366351485252,1.152988314628601
17,20,61,73,0.125,0.07638870179653168,0.5052832961082458
18,19,67,71,0.125,0.06677449494600296,0.6708676218986511
18,21,67,79,0.25,0.22229018807411194,0.11055469512939453
19,20,71,73,0.0555555559694767,0.02296142466366291,1.053889274597168
19,22,71,83,0.25,0.22441449761390686,0.10142453759908676
20,21,73,79,0.02777777798473835,0.0096365911886096,1.4145987033843994
20,23,73,89,0.125,0.05310218036174774,1.006797194480896
21,22,79,83,0.125,0.06682918965816498,0.6698040962219238
22,23,83,89,0.0833333358168602,0.033361710608005524,1.1110762357711792
