node_index,prime,motif,motif_run,two_adic_depth,prime_shell_x,mpl_tc_motif_y,two_adic_run_depth_z,canonical_degree,spatial_degree
0,2,U1,1,0,-1.0,-1.0,-1.0,0.4166666865348816,0.21207602322101593
1,3,U1,1,1,-0.7863436937332153,-1.0,-0.5559579133987427,0.875,0.3881486654281616
2,5,E1.0,1,2,-0.5171685814857483,0.0,-0.11191582679748535,1.0714285373687744,0.46656566858291626
3,7,E1.0,2,1,-0.33986741304397583,0.0,-0.3759143352508545,1.3333333730697632,0.737531840801239
4,11,E1.1,1,1,-0.10169780254364014,0.3333333730697632,-0.5559579133987427,1.2416666746139526,0.6506841778755188
5,13,E1.0,3,2,-0.013670206069946289,0.0,0.1958707571029663,1.3250000476837158,0.6230881214141846
6,17,E1.1,2,4,0.12768924236297607,0.3333333730697632,0.9562119245529175,0.4583333134651184,0.21782490611076355
7,19,E1.0,4,1,0.18629860877990723,0.0,-0.14908623695373535,1.5833333730697632,0.9522213935852051
8,23,E1.1,3,1,0.2869734764099121,0.3333333730697632,-0.2481713891029358,1.0833333730697632,0.689055323600769
9,29,E2.0,1,2,0.40911924839019775,1.0,-0.11191582679748535,1.316666603088379,0.7997863292694092
10,31,E1.0,5,1,0.44426167011260986,0.0,-0.06812781095504761,1.431249976158142,0.7847545146942139
11,37,E2.0,2,2,0.5374938249588013,1.0,0.06812775135040283,1.3229166269302368,0.9214873313903809
12,41,E1.1,4,3,0.5915865898132324,0.3333333730697632,0.7389979362487793,0.651388943195343,0.3546779751777649
13,43,E1.0,6,1,0.616683840751648,0.0,0.00032150745391845703,0.888888955116272,0.621911883354187
14,47,E1.1,5,1,0.6635539531707764,0.3333333730697632,-0.06812781095504761,1.4083333015441895,0.9451497197151184
15,53,E2.0,3,2,0.7268627882003784,1.0,0.1958707571029663,1.0,0.718895673751831
16,59,E2.0,4,1,0.7833750247955322,1.0,-0.14908623695373535,1.3229167461395264,0.8805227279663086
17,61,E1.0,7,2,0.8009412288665771,0.0,0.5036572217941284,0.46934521198272705,0.22163134813308716
18,67,E2.0,5,1,0.8503783941268921,1.0,-0.06812781095504761,1.4166667461395264,0.9561978578567505
19,71,E1.1,6,1,0.8809342384338379,0.3333333730697632,0.00032150745391845703,0.8055555820465088,0.5796849131584167
20,73,E1.0,8,3,0.8955724239349365,0.0,1.0,0.5333333015441895,0.282667875289917
21,79,E2.0,6,1,0.9371944665908813,1.0,0.00032150745391845703,0.569444477558136,0.4320867955684662
22,83,E1.1,7,1,0.963221549987793,0.3333333730697632,0.059615135192871094,0.7916666865348816,0.5640003681182861
23,89,E2.0,7,3,1.0,1.0,0.9476993083953857,0.2708333432674408,0.11663000285625458
