source_index,target_index,source_value,target_value,source_stream,target_stream,spatial_weight
0,2,2,4,pure_even_lift,pure_even_lift,0.3944322466850281
1,2,3,4,first_order_odd,pure_even_lift,0.29070496559143066
1,3,3,5,first_order_odd,first_order_odd,0.2708356976509094
1,4,3,6,first_order_odd,mixed_even_composite,0.2045344114303589
1,7,3,9,first_order_odd,lpf_odd_composite,0.1467517912387848
1,10,3,12,first_order_odd,mixed_even_composite,0.11085455864667892
1,13,3,15,first_order_odd,lpf_odd_composite,0.10986332595348358
1,16,3,18,first_order_odd,mixed_even_composite,0.09392646700143814
1,19,3,21,first_order_odd,lpf_odd_composite,0.09374290704727173
1,22,3,24,first_order_odd,mixed_even_composite,0.08370864391326904
1,25,3,27,first_order_odd,lpf_odd_composite,0.08446313440799713
1,28,3,30,first_order_odd,mixed_even_composite,0.07815761119127274
1,31,3,33,first_order_odd,lpf_odd_composite,0.07831468433141708
1,34,3,36,first_order_odd,mixed_even_composite,0.07353826612234116
1,37,3,39,first_order_odd,lpf_odd_composite,0.07387818396091461
1,40,3,42,first_order_odd,mixed_even_composite,0.07035442441701889
1,43,3,45,first_order_odd,lpf_odd_composite,0.07048893719911575
1,46,3,48,first_order_odd,mixed_even_composite,0.06724967062473297
1,49,3,51,first_order_odd,lpf_odd_composite,0.06779216229915619
1,52,3,54,first_order_odd,mixed_even_composite,0.06548435240983963
1,55,3,57,first_order_odd,lpf_odd_composite,0.06558004766702652
1,58,3,60,first_order_odd,mixed_even_composite,0.06354221701622009
1,61,3,63,first_order_odd,lpf_odd_composite,0.06372226029634476
1,64,3,66,first_order_odd,mixed_even_composite,0.06206628680229187
1,67,3,69,first_order_odd,lpf_odd_composite,0.06213252246379852
1,70,3,72,first_order_odd,mixed_even_composite,0.06053338572382927
1,73,3,75,first_order_odd,lpf_odd_composite,0.06075127795338631
1,76,3,78,first_order_odd,mixed_even_composite,0.05949045345187187
1,79,3,81,first_order_odd,lpf_odd_composite,0.05953594297170639
1,82,3,84,first_order_odd,mixed_even_composite,0.058351535350084305
1,85,3,87,first_order_odd,lpf_odd_composite,0.05845518037676811
1,88,3,90,first_order_odd,mixed_even_composite,0.057454466819763184
1,91,3,93,first_order_odd,lpf_odd_composite,0.05748536065220833
1,94,3,96,first_order_odd,mixed_even_composite,0.05634899437427521
1,96,3,99,first_order_odd,lpf_odd_composite,0.056608278304338455
1,98,3,102,first_order_odd,mixed_even_composite,0.055789221078157425
1,100,3,105,first_order_odd,lpf_odd_composite,0.055809684097766876
1,102,3,108,first_order_odd,mixed_even_composite,0.05501360446214676
1,104,3,111,first_order_odd,lpf_odd_composite,0.05507819727063179
1,106,3,114,first_order_odd,mixed_even_composite,0.05439179763197899
1,109,3,117,first_order_odd,lpf_odd_composite,0.054404664784669876
1,112,3,120,first_order_odd,mixed_even_composite,0.0536872036755085
1,115,3,123,first_order_odd,lpf_odd_composite,0.053781572729349136
1,118,3,126,first_order_odd,mixed_even_composite,0.053195465356111526
1,120,3,129,first_order_odd,lpf_odd_composite,0.05320272594690323
1,122,3,132,first_order_odd,mixed_even_composite,0.05262048915028572
1,125,3,135,first_order_odd,lpf_odd_composite,0.0526629313826561
1,127,3,138,first_order_odd,mixed_even_composite,0.05215480923652649
1,129,3,141,first_order_odd,lpf_odd_composite,0.052157845348119736
1,132,3,144,first_order_odd,mixed_even_composite,0.05158209055662155
1,135,3,147,first_order_odd,lpf_odd_composite,0.05168376490473747
1,137,3,150,first_order_odd,mixed_even_composite,0.05123767629265785
1,139,3,153,first_order_odd,lpf_odd_composite,0.051237523555755615
1,142,3,156,first_order_odd,mixed_even_composite,0.0507875420153141
1,144,3,159,first_order_odd,lpf_odd_composite,0.0508163757622242
1,147,3,162,first_order_odd,mixed_even_composite,0.05042057856917381
1,149,3,165,first_order_odd,lpf_odd_composite,0.05041798576712608
1,151,3,168,first_order_odd,mixed_even_composite,0.04998914524912834
1,154,3,171,first_order_odd,lpf_odd_composite,0.050040263682603836
1,156,3,174,first_order_odd,mixed_even_composite,0.04968590661883354
1,159,3,177,first_order_odd,lpf_odd_composite,0.049681417644023895
2,6,4,8,pure_even_lift,pure_even_lift,0.3944321274757385
3,5,5,7,first_order_odd,first_order_odd,0.2887611985206604
3,6,5,8,first_order_odd,pure_even_lift,0.25085002183914185
3,8,5,10,first_order_odd,mixed_even_composite,0.20592163503170013
3,18,5,20,first_order_odd,mixed_even_composite,0.11172747611999512
3,23,5,25,first_order_odd,lpf_odd_composite,0.10986332595348358
3,33,5,35,first_order_odd,lpf_odd_composite,0.09374290704727173
3,38,5,40,first_order_odd,mixed_even_composite,0.08418039232492447
3,48,5,50,first_order_odd,mixed_even_composite,0.0784744843840599
3,53,5,55,first_order_odd,lpf_odd_composite,0.07831468433141708
3,63,5,65,first_order_odd,lpf_odd_composite,0.07387816905975342
3,68,5,70,first_order_odd,mixed_even_composite,0.07057758420705795
3,78,5,80,first_order_odd,mixed_even_composite,0.06746114790439606
3,83,5,85,first_order_odd,lpf_odd_composite,0.06779216229915619
3,93,5,95,first_order_odd,lpf_odd_composite,0.06558004766702652
3,97,5,100,first_order_odd,mixed_even_composite,0.06369533389806747
3,103,5,110,first_order_odd,mixed_even_composite,0.06220163032412529
3,107,5,115,first_order_odd,lpf_odd_composite,0.06213252246379852
3,117,5,125,first_order_odd,lpf_odd_composite,0.06075127795338631
3,121,5,130,first_order_odd,mixed_even_composite,0.059602200984954834
3,128,5,140,first_order_odd,mixed_even_composite,0.058453936129808426
3,133,5,145,first_order_odd,lpf_odd_composite,0.05845518037676811
3,141,5,155,first_order_odd,lpf_odd_composite,0.05748536065220833
3,145,5,160,first_order_odd,mixed_even_composite,0.05643485486507416
3,153,5,170,first_order_odd,mixed_even_composite,0.05587086081504822
3,157,5,175,first_order_odd,lpf_odd_composite,0.055809684097766876
4,8,6,10,mixed_even_composite,mixed_even_composite,0.25037601590156555
4,10,6,12,mixed_even_composite,mixed_even_composite,0.3944324254989624
5,9,7,11,first_order_odd,first_order_odd,0.27058717608451843
5,12,7,14,first_order_odd,mixed_even_composite,0.20229744911193848
5,14,7,16,first_order_odd,pure_even_lift,0.16439232230186462
5,26,7,28,first_order_odd,mixed_even_composite,0.10977081954479218
5,47,7,49,first_order_odd,lpf_odd_composite,0.08848527073860168
5,54,7,56,first_order_odd,mixed_even_composite,0.08318793028593063
5,75,7,77,first_order_odd,lpf_odd_composite,0.07554785162210464
5,89,7,91,first_order_odd,lpf_odd_composite,0.07169944792985916
5,95,7,98,first_order_odd,mixed_even_composite,0.06999727338552475
5,105,7,112,first_order_odd,mixed_even_composite,0.0670306459069252
5,111,7,119,first_order_odd,lpf_odd_composite,0.06630919873714447
5,123,7,133,first_order_odd,lpf_odd_composite,0.06431595981121063
5,140,7,154,first_order_odd,mixed_even_composite,0.06185139715671539
5,146,7,161,first_order_odd,lpf_odd_composite,0.061171773821115494
6,14,8,16,pure_even_lift,pure_even_lift,0.3944321870803833
7,13,9,15,lpf_odd_composite,lpf_odd_composite,0.2217787802219391
7,16,9,18,lpf_odd_composite,mixed_even_composite,0.2790526747703552
8,10,10,12,mixed_even_composite,mixed_even_composite,0.35075610876083374
8,18,10,20,mixed_even_composite,mixed_even_composite,0.3944321870803833
9,11,11,13,first_order_odd,first_order_odd,0.3015872836112976
9,20,11,22,first_order_odd,mixed_even_composite,0.2008245587348938
9,30,11,32,first_order_odd,pure_even_lift,0.13449707627296448
9,42,11,44,first_order_odd,mixed_even_composite,0.10915045440196991
9,86,11,88,first_order_odd,mixed_even_composite,0.08291055262088776
9,113,11,121,first_order_odd,lpf_odd_composite,0.07476726919412613
9,131,11,143,first_order_odd,lpf_odd_composite,0.07108192890882492
