node_index,value,stream_kind,domain,axis,dyadic_depth,least_prime_factor,cofactor,source_prime_index,x_number_magnitude,y_stream_kind,z_axis_depth
0,2,pure_even_lift,E,E1,1,,1,0,-1.0,-1.0,-1.0
1,3,first_order_odd,O,O1,0,,,1,-0.8193370699882507,-0.3333333432674408,-1.0
2,4,pure_even_lift,E,E2,2,,1,1,-0.6911547183990479,-1.0,-0.7381875514984131
3,5,first_order_odd,O,O1,0,,,2,-0.591728687286377,-0.3333333432674408,-0.7381875514984131
4,6,mixed_even_composite,E,E1,1,,3,1,-0.5104917287826538,1.0,-0.6370509266853333
5,7,first_order_odd,O,O1,0,,,3,-0.4418068528175354,-0.3333333432674408,-1.0
6,8,pure_even_lift,E,E3,3,,1,2,-0.3823093771934509,-1.0,-0.47637516260147095
7,9,lpf_odd_composite,O,O2,0,3,3,1,-0.32982879877090454,0.3333333432674408,-0.3752385377883911
8,10,mixed_even_composite,E,E1,1,,5,2,-0.28288334608078003,1.0,-0.5308951139450073
9,11,first_order_odd,O,O1,0,,,4,-0.2404160499572754,-0.3333333432674408,-1.0
10,12,mixed_even_composite,E,E2,2,,3,1,-0.20164644718170166,1.0,-0.3752385377883911
11,13,first_order_odd,O,O1,0,,,5,-0.16598188877105713,-0.3333333432674408,-0.7381875514984131
12,14,mixed_even_composite,E,E1,1,,7,3,-0.13296157121658325,1.0,-0.4555763602256775
13,15,lpf_odd_composite,O,O2,0,3,5,1,-0.10222041606903076,0.3333333432674408,-0.2690827250480652
14,16,pure_even_lift,E,E4,4,,1,3,-0.073464035987854,-1.0,-0.2145627737045288
15,17,first_order_odd,O,O1,0,,,6,-0.046451568603515625,-0.3333333432674408,-0.2145627737045288
16,18,mixed_even_composite,E,E1,1,3,9,1,-0.020983517169952393,1.0,-0.39715462923049927
17,19,first_order_odd,O,O1,0,,,7,0.0031071901321411133,-0.3333333432674408,-1.0
18,20,mixed_even_composite,E,E2,2,,5,2,0.025961995124816895,1.0,-0.2690827250480652
19,21,lpf_odd_composite,O,O2,0,3,7,1,0.047701358795166016,0.3333333432674408,-0.19376397132873535
20,22,mixed_even_composite,E,E1,1,,11,4,0.06842923164367676,1.0,-0.34942060708999634
21,23,first_order_odd,O,O1,0,,,8,0.08823561668395996,-0.3333333432674408,-1.0
22,24,mixed_even_composite,E,E3,3,,3,1,0.10719883441925049,1.0,-0.1134260892868042
23,25,lpf_odd_composite,O,O3,0,5,5,2,0.12538790702819824,0.3333333432674408,-0.0072702765464782715
24,26,mixed_even_composite,E,E1,1,,13,5,0.14286339282989502,1.0,-0.30906200408935547
25,27,lpf_odd_composite,O,O2,0,3,9,1,0.15967941284179688,0.3333333432674408,-0.13534224033355713
26,28,mixed_even_composite,E,E2,2,,7,3,0.17588376998901367,1.0,-0.19376397132873535
27,29,first_order_odd,O,O1,0,,,9,0.1915193796157837,-0.3333333432674408,-0.7381875514984131
28,30,mixed_even_composite,E,E1,1,3,15,1,0.2066248655319214,1.0,-0.2741018533706665
29,31,first_order_odd,O,O1,0,,,10,0.22123503684997559,-0.3333333432674408,-1.0
30,32,pure_even_lift,E,E5,5,,1,4,0.23538124561309814,-1.0,0.047249674797058105
31,33,lpf_odd_composite,O,O2,0,3,11,1,0.2490922212600708,0.3333333432674408,-0.08760815858840942
32,34,mixed_even_composite,E,E1,1,,17,6,0.2623937129974365,1.0,-0.2432647943496704
33,35,lpf_odd_composite,O,O3,0,5,7,2,0.27530980110168457,0.3333333432674408,0.06804847717285156
34,36,mixed_even_composite,E,E2,2,3,9,1,0.28786182403564453,1.0,-0.13534224033355713
35,37,first_order_odd,O,O1,0,,,11,0.3000699281692505,-0.3333333432674408,-0.7381875514984131
36,38,mixed_even_composite,E,E1,1,,19,7,0.31195247173309326,1.0,-0.2156800627708435
37,39,lpf_odd_composite,O,O2,0,3,13,1,0.32352638244628906,0.3333333432674408,-0.047249674797058105
38,40,mixed_even_composite,E,E3,3,,5,2,0.33480727672576904,1.0,-0.0072702765464782715
39,41,first_order_odd,O,O1,0,,,12,0.3458094596862793,-0.3333333432674408,-0.47637516260147095
40,42,mixed_even_composite,E,E1,1,3,21,1,0.3565467596054077,1.0,-0.19072669744491577
41,43,first_order_odd,O,O1,0,,,13,0.3670312166213989,-0.3333333432674408,-1.0
42,44,mixed_even_composite,E,E2,2,,11,4,0.37727463245391846,1.0,-0.08760815858840942
43,45,lpf_odd_composite,O,O2,0,3,15,1,0.38728785514831543,0.3333333432674408,-0.012289464473724365
44,46,mixed_even_composite,E,E1,1,,23,8,0.3970808982849121,1.0,-0.16794604063034058
45,47,first_order_odd,O,O1,0,,,14,0.40666353702545166,-0.3333333432674408,-1.0
46,48,mixed_even_composite,E,E4,4,,3,1,0.4160442352294922,1.0,0.14838635921478271
47,49,lpf_odd_composite,O,O4,0,7,7,3,0.42523157596588135,0.3333333432674408,0.3298608064651489
48,50,mixed_even_composite,E,E1,1,5,25,2,0.43423330783843994,1.0,-0.1469898223876953
49,51,lpf_odd_composite,O,O2,0,3,17,1,0.44305670261383057,0.3333333432674408,0.018547654151916504
50,52,mixed_even_composite,E,E2,2,,13,5,0.4517087936401367,1.0,-0.047249674797058105
51,53,first_order_odd,O,O1,0,,,15,0.46019601821899414,-0.3333333432674408,-0.7381875514984131
52,54,mixed_even_composite,E,E1,1,3,27,1,0.4685248136520386,1.0,-0.1275874376296997
53,55,lpf_odd_composite,O,O3,0,5,11,2,0.4767005443572998,0.3333333432674408,0.17420423030853271
54,56,mixed_even_composite,E,E3,3,,7,3,0.48472893238067627,1.0,0.06804847717285156
55,57,lpf_odd_composite,O,O2,0,3,19,1,0.4926154613494873,0.3333333432674408,0.04613232612609863
56,58,mixed_even_composite,E,E1,1,,29,9,0.5003646612167358,1.0,-0.10952430963516235
57,59,first_order_odd,O,O1,0,,,16,0.507981538772583,-0.3333333432674408,-1.0
58,60,mixed_even_composite,E,E2,2,3,15,1,0.5154701471328735,1.0,-0.012289464473724365
59,61,first_order_odd,O,O1,0,,,17,0.5228350162506104,-0.3333333432674408,-0.7381875514984131
60,62,mixed_even_composite,E,E1,1,,31,10,0.5300803184509277,1.0,-0.09262728691101074
61,63,lpf_odd_composite,O,O2,0,3,21,1,0.5372095108032227,0.3333333432674408,0.07108569145202637
62,64,pure_even_lift,E,E6,6,,1,5,0.5442266464233398,-1.0,0.309062123298645
63,65,lpf_odd_composite,O,O3,0,5,13,2,0.5511348247528076,0.3333333432674408,0.2145627737045288
64,66,mixed_even_composite,E,E1,1,3,33,1,0.557937502861023,1.0,-0.07675504684448242
65,67,first_order_odd,O,O1,0,,,18,0.5646380186080933,-0.3333333432674408,-1.0
66,68,mixed_even_composite,E,E2,2,,17,6,0.5712391138076782,1.0,0.018547654151916504
67,69,lpf_odd_composite,O,O2,0,3,23,1,0.5777438879013062,0.3333333432674408,0.09386634826660156
68,70,mixed_even_composite,E,E1,1,5,35,2,0.5841549634933472,1.0,-0.06179022789001465
69,71,first_order_odd,O,O1,0,,,19,0.59047532081604,-0.3333333432674408,-1.0
70,72,mixed_even_composite,E,E3,3,3,9,1,0.5967071056365967,1.0,0.12647020816802979
71,73,first_order_odd,O,O1,0,,,20,0.6028530597686768,-0.3333333432674408,-0.47637516260147095
72,74,mixed_even_composite,E,E1,1,,37,11,0.6089153289794922,1.0,-0.047634780406951904
73,75,lpf_odd_composite,O,O2,0,3,25,1,0.6148961782455444,0.3333333432674408,0.1148226261138916
74,76,mixed_even_composite,E,E2,2,,19,7,0.620797872543335,1.0,0.04613232612609863
75,77,lpf_odd_composite,O,O4,0,7,11,3,0.6266223192214966,0.3333333432674408,0.43601667881011963
76,78,mixed_even_composite,E,E1,1,3,39,1,0.6323717832565308,1.0,-0.03420555591583252
77,79,first_order_odd,O,O1,0,,,21,0.6380478143692017,-0.3333333432674408,-1.0
