node,layer,family,activation,out_degree,in_degree,state_source
QENN state,0,qenn,0.7064498136609045,1,0,runtime_output_tensor
MPL-TC motifs,0,dependency,0.9701555819112848,1,0,runtime_output_tensor
prime/parity router,1,prime,0.22541112897574955,2,2,runtime_output_tensor
motif growth,2,growth,1.0,1,1,runtime_output_tensor
2-adic depth,2,prime,0.9753665962495683,1,1,runtime_output_tensor
message passing,3,graph,0.1835590673619908,2,2,runtime_output_tensor
pDFI gate,4,tne,0.0,1,1,runtime_output_tensor
Elastic-pi edges,4,tne,0.9576766246324543,1,1,runtime_output_tensor
graph closure,5,closure,0.5893155555984667,1,2,runtime_output_tensor
observation,6,output,0.5924586805205032,0,1,runtime_output_tensor
