node_index,orientation,partner_index,stream,x,y,z
0,positive,12,invariant,-0.20516579772612983,-0.17102997525512048,-0.06599135121576026
1,positive,13,anti_invariant,-0.2757393731934505,-0.09741744622183134,-0.18861605433848916
2,positive,14,dtqc_memory,0.33826512981793494,-0.04704712701310817,0.04603066557595294
3,positive,15,closure,-0.04973022086746095,0.25592728561893197,0.12315712592513284
4,positive,16,invariant,1.0,-0.04554568535139696,0.01932422675027603
5,positive,17,anti_invariant,0.5013343510139198,0.17976542205249657,0.021992787598116275
6,positive,18,dtqc_memory,-0.737557845200135,0.10477067902811112,-0.07235257109576967
7,positive,19,closure,-0.46947270140375197,-0.24142997872849417,0.11573209438540448
8,positive,20,invariant,0.2769286424370479,-0.08114319567723538,-0.10710382118221415
9,positive,21,anti_invariant,0.3520030338324441,0.07254537656210482,-0.17845667724497744
10,positive,22,dtqc_memory,-0.7266168205332294,0.1615826566605295,0.01478669104234151
11,positive,23,closure,-0.004248398177184757,-0.09097801167498921,0.27149688379998493
12,negative,0,invariant,0.20516579772612983,0.17102997525512048,0.06599135121576026
13,negative,1,anti_invariant,0.2757393731934505,0.09741744622183134,0.18861605433848916
14,negative,2,dtqc_memory,-0.33826512981793494,0.04704712701310817,-0.04603066557595294
15,negative,3,closure,0.04973022086746095,-0.25592728561893197,-0.12315712592513284
16,negative,4,invariant,-1.0,0.04554568535139696,-0.01932422675027603
17,negative,5,anti_invariant,-0.5013343510139198,-0.17976542205249657,-0.021992787598116275
18,negative,6,dtqc_memory,0.737557845200135,-0.10477067902811112,0.07235257109576967
19,negative,7,closure,0.46947270140375197,0.24142997872849417,-0.11573209438540448
20,negative,8,invariant,-0.2769286424370479,0.08114319567723538,0.10710382118221415
21,negative,9,anti_invariant,-0.3520030338324441,-0.07254537656210482,0.17845667724497744
22,negative,10,dtqc_memory,0.7266168205332294,-0.1615826566605295,-0.01478669104234151
23,negative,11,closure,0.004248398177184757,0.09097801167498921,-0.27149688379998493
