sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,metric_producer
0,0,red,5,yellow,0.19536371529102325,False,SOInet
1,0,red,5,yellow,0.19523417949676514,False,SOInet
2,1,green,2,blue,0.18218384683132172,False,SOInet
3,1,green,2,blue,0.18253210186958313,False,SOInet
4,2,blue,2,blue,0.19389314949512482,True,SOInet
5,2,blue,2,blue,0.19373206794261932,True,SOInet
6,3,cyan,2,blue,0.18045853078365326,False,SOInet
7,3,cyan,2,blue,0.18011474609375,False,SOInet
8,4,magenta,4,magenta,0.18052886426448822,True,SOInet
9,4,magenta,4,magenta,0.18039171397686005,True,SOInet
10,5,yellow,5,yellow,0.2510148882865906,True,SOInet
11,5,yellow,5,yellow,0.2509142756462097,True,SOInet
