timestep,Africa,Americas,Asia,Europe,Oceania,Other
0,-6.368556904998749,-6.841533390397996,-7.8619777220023295,-6.678724680718068,-4.076901704886058,-4.531728482434226
1,-6.511397643306971,-5.906644176950624,8.363510141037544,-7.346412556657725,-3.9851595824703967,-4.5306449113258305
2,-5.866430000185094,-5.716661568816467,-5.735085612896245,-1.4610619043713085,-4.562604699480832,-4.5728455879133465
3,-23.108002987395597,-6.297866871750877,-5.322525833320293,-4.208118167251775,-4.8001882975903225,-5.745556222351548
4,-5.46666418285074,-5.98497287185292,-5.917252951742067,-3.97987368357522,-4.361873986385586,-4.629763653372407
5,-6.671563840689375,-5.702607563638354,-46.37481085792724,4.268206572442424,-4.138187480707634,-4.437393161971224
6,-5.804600214412903,-5.318118962421421,-4.441302736297088,-7.419860827555912,-4.5812785867698,-4.383278502976307
7,-4.579506135990201,-5.077499513807868,-4.811407780530883,-4.624474734326378,-5.8751656293420185,-4.787343052668249
8,-5.615719365738012,-5.902342362579298,-4.488464382907328,-4.006123340834995,-4.7665071243950035,-5.284778444134956
9,-5.354642731764515,-6.028562193512505,-4.166038647217266,-4.188740267910184,-4.543261696369502,0.8553026841748437
10,-6.188444471463984,4.6345090664797395,-3.951670728092232,-4.259465718801944,-4.399095354921833,-5.44827164427393
11,-6.490342624851212,-2.4131172100790805,-4.410558307626779,-4.354898817040061,-3.301088818674628,-5.392025211670299
12,-5.449231415791648,-4.564979519803503,-4.264638514423712,-4.677508603581596,-5.453120697969921,-5.7538442426374585
13,-28.9669891100114,-9.79520300501113,-6.840679722579324,-4.631596672106084,-5.395079866321279,-4.378982605378687
14,-6.04580428659093,-4.466690757230965,-4.51587636436075,-4.149162088891183,-5.250057968220254,-3.808516485937354
15,-5.76329106125486,-5.146355564808332,-4.840236058738852,-5.5499898276290365,-4.4873880286715115,-4.636492996736444
16,-5.866771053063568,-6.719137541180025,-4.621451248820154,-1.4006532690448565,-5.204177458338982,-4.787847868793519
17,-4.601003222432572,-4.307000994077586,-7.570895301135112,-4.171748665408291,-5.345317763176776,-6.1470528903427555
18,-3.6114653046374,-4.023387157004089,-3.8673770350728223,-4.5016973701868075,-6.419887419557204,-5.341347182449468
19,-7.470368486584131,-4.541764197775558,-6.112213397240928,-4.7437130895500825,-4.293635268482406,-5.192457482198178
20,-3.47017781934658,-3.3655325089238426,-3.034559377878156,-4.331676838990577,1.0433260155713626,-5.410502882675413
21,-0.7026761792383974,-4.032746341376909,-13.052024290651167,-4.744816625513444,-6.463611374730465,-5.296044139026633
22,-5.417833643796643,-3.6642593452306937,-4.4071884973722595,-4.314484971111298,-4.611125911078167,-5.325466605215865
23,-4.092755747070768,-5.254577439470029,-4.110516379884544,-5.769038574489598,-2.9554264324257473,-4.715328133301978
24,-4.319868360264572,-5.494644990324864,-4.687450706631813,-5.844525896213345,-5.306739666921872,-4.64235168935369
25,-4.692473576841274,-5.206338861502999,-4.816631449062406,-2.5723140846485486,-5.795972098031347,-5.496414988860561
26,-4.705974156846745,-5.203944537209159,-4.443127207906716,-6.09404737850166,-6.468789070477341,-4.5654743643889
27,-9.013685623954292,-5.8900487341233445,-5.560261346117922,-3.384216609703812,1.0620879385724515,-4.7035902639796685
28,-6.857893125874881,-12.753930951313514,-7.459685519605666,-1.9735382099410037,-6.851301793369815,-4.562077405807218
29,-5.399506381300042,-5.897140688049271,-6.468977535964246,-4.350917749725299,-2.824706663923457,-4.696798985188571
30,-5.579194796690032,-7.397767706593123,-5.623933239299734,-4.11033709955635,-5.560075098438766,-4.815081187089176
31,-7.636237303778315,-8.09357058667325,-5.973843349254738,-8.909356537189101,-8.54175201573887,-4.693963256681719
32,-3.9439714769741436,-5.251335417491398,-6.5762951784391035,-4.12961925897257,-5.441684582114809,-4.8270296688677385
33,-4.768704709544308,-5.374058372894491,-5.148944524621018,-4.862123858479213,-5.176230346872338,-4.777050278685748
34,-5.08550886868181,-4.853986725076996,-5.33166849521673,-4.774602691883903,-4.822101834468079,-5.835600680480636
35,-5.411484519421525,-4.735498528945238,-2.787819489064472,8.304433897715734,-4.72983841548727,-5.218380362137502
36,-5.651148383714442,-4.71224272211178,-8.310959340110424,-4.204915035700488,-4.302503135573901,-5.300408472979555
37,-5.496382197166302,-4.644513966150851,-8.25277575093564,-4.616466872413085,-4.6785928282836995,-5.191949685152374
38,-5.899581112595685,-4.4937604179004635,-4.0310997295142785,-3.8529579177747912,-4.586848758647024,-5.238774751137147
39,-5.305747928029891,-3.3147262300791853,-4.582293564599725,-4.531708252533291,-4.589087697100693,-5.304343281173598
40,-5.109066094295561,-4.805430956730862,-4.7162465645863625,-3.9338660055183468,-5.875872744343699,-4.4147775993751806
41,-5.46967362883124,-4.214142692286142,-4.6970691813286045,-1.7102926167174353,-5.249063180439106,-4.55881556880266
42,-5.548776068746054,-4.203594216397995,-4.574728393298355,-6.272757118117297,-5.38111566942441,-4.619008190283708
43,-6.7402064229328875,-4.056725558948942,-4.539364354027729,-6.8599733987751,-5.223727917054388,-4.701577289630196
44,-5.280675626683831,-6.278763369109481,-4.36282054370577,-6.985998398892707,-5.265117177241772,-4.875789708648631
45,-5.207961153277947,-5.114295007586334,-6.1940491573251695,-4.771397474115214,-4.932154846970189,-5.268926659152915
46,-1.4597444659150738,-5.1331098639909385,-4.31678815223271,3.5025729129065133,-4.860629404369615,-6.9001466311549065
47,-5.276440551421444,-4.141319717041898,-5.319101078483689,-5.168675500235106,-4.806341191707512,-4.863972640919998
48,-5.5510052064402915,-4.78530286069886,-4.7892876385093786,-5.2253972657364915,-5.111388660752569,-4.853491026099864
49,-5.494404231551443,-4.566773116360836,-4.900046923019715,-5.182770305385637,-5.434830384022903,-5.658231718797712
50,-4.161113506312001,-2.644131730432124,-4.3230638100459595,-6.000649544454321,-4.643196612740864,-5.256602014169459
51,-4.020124382158733,-2.2304587262370137,-4.357724276204291,-10.018657849487386,-4.631648088427639,-5.224511704216151
52,-3.7174267205570204,-3.3846168947707533,-4.3760128849647275,-12.496430463296686,-4.370887394927885,-5.2892286892785
53,-4.759070707081115,-3.530497827772463,-4.675654434342182,-0.5339136527258436,6.093880846575853,-5.138345521845807
54,-4.687658738915354,-5.873979145589062,-4.67078118499011,-5.807296274507412,-5.136451670355729,-4.776405254020886
55,-7.158859434593526,-4.80638310033632,-4.160800221512177,-5.411747918857455,-5.182876691581238,-4.667065481095071
56,-3.0806886669745372,-4.820372632841805,-4.508028987870913,-5.437075391910433,-5.118204348394077,-4.724299148295099
57,-10.735386435227534,-4.742709269143311,-4.533534741677302,-5.849970028340165,-4.5080532239975115,-5.175060583174287
58,-3.967076743646609,-4.684380571773777,-4.613155614449468,-5.4898021787052205,-4.243775274476375,-5.199910626081949
59,-5.440027843509243,-5.8939245582317685,-3.908657364487637,-5.633856875375784,-4.849799590718766,-5.622981278434389
60,-3.1622590429600765,3.4690026160765743,-6.031427060991993,-5.9640702506086765,-4.768327325720574,-5.507135522487385
61,-9.161916126754198,-1.150368130379095,-6.860297702225105,-6.0952571956404205,-4.75286610244682,-5.619078247736164
62,-5.7432243626393005,-7.570207485193791,89.1890681246909,-3.094420907078922,-4.728460334317426,-5.674066730229371
63,-6.891476052975931,-0.4739642664285698,-6.1820933762885,-4.302283114455718,-4.745021397068992,-5.312359124460956
