Input (y),Result for y,Result for -y
-56,-56,56
-85,-85,85
43,43,-43
3,3,-3
-98,-98,98
48,48,-48
86,86,-86
-76,-76,76
81,81,-81
-53,-53,53
-43,-43,43
41,41,-41
-79,-79,79
95,95,-95
81,81,-81
29,29,-29
-84,-84,84
-6,-6,6
11,11,-11
61,61,-61
1,1,-1
-40,-40,40
-82,-82,82
-35,-35,35
39,39,-39
-32,-32,32
-72,-72,72
-26,-26,26
-11,-11,11
-92,-92,92
-68,-68,68
85,85,-85
-59,-59,59
39,39,-39
61,61,-61
57,57,-57
-3,-3,3
41,41,-41
47,47,-47
-70,-70,70
-70,-70,70
96,96,-96
-10,-10,10
-22,-22,22
-83,-83,83
-70,-70,70
-30,-30,30
86,86,-86
-63,-63,63
4,4,-4
-72,-72,72
85,85,-85
5,5,-5
-7,-7,7
-70,-70,70
-8,-8,8
79,79,-79
95,95,-95
96,96,-96
12,12,-12
-44,-44,44
-84,-84,84
-24,-24,24
-85,-85,85
48,48,-48
19,19,-19
43,43,-43
49,49,-49
95,95,-95
-7,-7,7
-74,-74,74
56,56,-56
5,5,-5
-35,-35,35
2,2,-2
-33,-33,33
9,9,-9
-60,-60,60
74,74,-74
80,80,-80
-88,-88,88
-55,-55,55
-9,-9,9
89,89,-89
68,68,-68
-19,-19,19
41,41,-41
21,21,-21
-78,-78,78
-18,-18,18
3,3,-3
17,17,-17
90,90,-90
43,43,-43
-90,-90,90
-51,-51,51
62,62,-62
-53,-53,53
89,89,-89
-6,-6,6
51,51,-51
-48,-48,48
-63,-63,63
4,4,-4
15,15,-15
-24,-24,24
-55,-55,55
95,95,-95
4,4,-4
29,29,-29
-9,-9,9
-52,-52,52
72,72,-72
97,97,-97
62,62,-62
78,78,-78
-2,-2,2
-20,-20,20
57,57,-57
-56,-56,56
9,9,-9
42,42,-42
-36,-36,36
22,22,-22
-31,-31,31
4,4,-4
40,40,-40
-63,-63,63
-49,-49,49
-19,-19,19
67,67,-67
25,25,-25
-75,-75,75
