Input (x),Result for x,Result for -x
-32,-32,32
-3,-3,3
-26,-26,26
-7,-7,7
87,87,-87
6,6,-6
-62,-62,62
-53,-53,53
24,24,-24
17,17,-17
-30,-30,30
95,95,-95
-47,-47,47
-39,-39,39
-7,-7,7
59,59,-59
-18,-18,18
-7,-7,7
15,15,-15
11,11,-11
-66,-66,66
55,55,-55
-17,-17,17
-65,-65,65
31,31,-31
-78,-78,78
62,62,-62
64,64,-64
-5,-5,5
2,2,-2
-97,-97,97
-66,-66,66
62,62,-62
97,97,-97
14,14,-14
6,6,-6
7,7,-7
81,81,-81
-78,-78,78
-77,-77,77
-57,-57,57
-30,-30,30
77,77,-77
-60,-60,60
11,11,-11
99,99,-99
30,30,-30
0,0,0
38,38,-38
81,81,-81
71,71,-71
2,2,-2
20,20,-20
-41,-41,41
70,70,-70
-51,-51,51
-45,-45,45
10,10,-10
63,63,-63
-48,-48,48
-39,-39,39
-73,-73,73
-36,-36,36
1,1,-1
21,21,-21
7,7,-7
-70,-70,70
47,47,-47
73,73,-73
86,86,-86
38,38,-38
98,98,-98
-59,-59,59
12,12,-12
-78,-78,78
-73,-73,73
22,22,-22
18,18,-18
78,78,-78
-65,-65,65
75,75,-75
-85,-85,85
-25,-25,25
-73,-73,73
-98,-98,98
-2,-2,2
-20,-20,20
-98,-98,98
13,13,-13
-96,-96,96
-7,-7,7
-8,-8,8
-15,-15,15
32,32,-32
-13,-13,13
39,39,-39
-80,-80,80
-32,-32,32
9,9,-9
62,62,-62
-99,-99,99
53,53,-53
16,16,-16
-1,-1,1
-12,-12,12
-12,-12,12
-90,-90,90
81,81,-81
-4,-4,4
55,55,-55
40,40,-40
-37,-37,37
-6,-6,6
36,36,-36
28,28,-28
0,0,0
60,60,-60
-22,-22,22
92,92,-92
-94,-94,94
-16,-16,16
3,3,-3
98,98,-98
60,60,-60
2,2,-2
67,67,-67
92,92,-92
-30,-30,30
-75,-75,75
-91,-91,91
26,26,-26
-96,-96,96
-97,-97,97
33,33,-33
-95,-95,95
-40,-40,40
30,30,-30
-16,-16,16
41,41,-41
76,76,-76
-24,-24,24
-75,-75,75
21,21,-21
-67,-67,67
69,69,-69
-52,-52,52
71,71,-71
54,54,-54
5,5,-5
73,73,-73
-82,-82,82
-63,-63,63
-38,-38,38
-61,-61,61
-6,-6,6
78,78,-78
-81,-81,81
70,70,-70
-80,-80,80
-47,-47,47
22,22,-22
83,83,-83
51,51,-51
-28,-28,28
33,33,-33
3,3,-3
-100,-100,100
77,77,-77
87,87,-87
34,34,-34
-74,-74,74
94,94,-94
-63,-63,63
26,26,-26
84,84,-84
-77,-77,77
82,82,-82
4,4,-4
51,51,-51
-98,-98,98
97,97,-97
-61,-61,61
-57,-57,57
48,48,-48
-91,-91,91
-28,-28,28
-43,-43,43
25,25,-25
16,16,-16
78,78,-78
-16,-16,16
-99,-99,99
-27,-27,27
61,61,-61
24,24,-24
17,17,-17
92,92,-92
-76,-76,76
-98,-98,98
54,54,-54
-10,-10,10
-20,-20,20
76,76,-76
37,37,-37
11,11,-11
51,51,-51
17,17,-17
-3,-3,3
-84,-84,84
-54,-54,54
5,5,-5
74,74,-74
-73,-73,73
-92,-92,92
24,24,-24
-13,-13,13
9,9,-9
-52,-52,52
87,87,-87
9,9,-9
25,25,-25
28,28,-28
53,53,-53
-48,-48,48
-96,-96,96
74,74,-74
-29,-29,29
72,72,-72
-1,-1,1
-32,-32,32
0,0,0
77,77,-77
82,82,-82
-56,-56,56
-100,-100,100
-71,-71,71
16,16,-16
-77,-77,77
-23,-23,23
-81,-81,81
12,12,-12
-46,-46,46
-94,-94,94
-43,-43,43
-30,-30,30
-81,-81,81
41,41,-41
98,98,-98
79,79,-79
23,23,-23
-84,-84,84
34,34,-34
53,53,-53
32,32,-32
-54,-54,54
31,31,-31
-72,-72,72
93,93,-93
-67,-67,67
18,18,-18
-13,-13,13
95,95,-95
-60,-60,60
