Basic Spectrum,Symmetric +,Symmetric -
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
0.0,0.0,-0.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
0.0,0.0,-0.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
100.0,100.0,-100.0
0.0,0.0,-0.0
0.0,0.0,-0.0
