theorem_complex_id,level,residual_norm,closure_status,exact_semantics,sample_type
black_hole_dynamics::elastic_black_hole_emergence_triviality_of_breakdown,A,0.0,satisfied,True,FieldLawInput
bridge_duality_dual_invariant_translation,A,0.0,satisfied,True,FieldLawInput
physical_singularity_absence_mathematical_failure_point_status,A,0.0,satisfied,True,FieldLawInput
black_hole_observability_triviality_and_regularity,A,0.0,satisfied,True,FieldLawInput
entropy_invariant_horizon_translation,B,0.0,satisfied,True,FieldLawInput
regular_observer_horizon_hypersurface,B,0.0,satisfied,True,FieldLawInput
regular_nonperforating_horizon_geometry,C,2.4253444609496486e-15,closed,True,FieldLawInput
elastic_hawking_emission_radiative_stasis,A,0.0,satisfied,True,BlackHoleInput
hawking_radiation_as_entropic_relaxation_stasis,A,0.0,satisfied,True,BlackHoleInput
observer_horizon_threshold_infinite_visibility,A,0.0,satisfied,True,BlackHoleInput
black_hole_dynamics::elastic_gravitational_memory_instant_relaxation,A,0.0,satisfied,True,BlackHoleInput
residual_deformation_memory_perfect_relaxation,A,0.0,satisfied,True,BlackHoleInput
simulation_consistency_breakdown_and_non_equivalence,A,1.0222730566961032e-16,satisfied,True,BlackHoleInput
appendix_wide_black_hole_hawking_observer_horizon_cross_complex_closure_and_computational_falsificat,A,0.0,satisfied,True,BlackHoleInput
spatiotemporal_hawking_flux_density,B,0.3902227234957296,open,False,BlackHoleInput
observer_accessible_curvature_memory,B,0.0,satisfied,False,BlackHoleInput
certified_residual_memory_lower_bound,B,0.5922489883881558,open,False,BlackHoleInput
observable_hawking_memory_certification,C,0.8431010364760373,open,False,BlackHoleInput
