frame,phase_radians,center_response
0,0.0,0.03289888608102966
1,0.3490658503988659,-0.09032181175352522
2,0.6981317007977318,-0.2101806115432133
3,1.0471975511965976,-0.32045729695027586
4,1.3962634015954636,-0.4164440580268025
5,1.7453292519943295,-0.49268264192168754
6,2.0943951023931953,-0.5371004928391607
7,2.443460952792061,-0.5478826256730905
8,2.792526803190927,-0.5208753583792658
9,3.141592653589793,-0.4579189845516463
10,3.490658503988659,-0.3586699732851026
11,3.839724354387525,-0.22177393745854074
12,4.1887902047863905,-0.055727134607736574
13,4.537856055185257,0.13046393213061933
14,4.886921905584122,0.3267964262804428
15,5.235987755982989,0.5056610916820595
16,5.585053606381854,0.6205381904778384
17,5.93411945678072,0.6933337155346174
