theorem_complex_id,level,residual_norm,closure_status,exact_semantics,sample_type
elastic_e_ripple_propagation_gr_linear_wave_recovery,A,0.0,satisfied,True,FieldLawInput
entropic_q_factor_suppression_conserved_ringdown_quality,A,0.0,satisfied,True,FieldLawInput
nonlinear_overtone_generation_spectral_purity,A,0.0,satisfied,True,FieldLawInput
subluminal_gw_transport_and_em_gw_lag_null_lag_correspondence,A,0.0,satisfied,True,FieldLawInput
wave_energy_quality_invariant,B,0.0,satisfied,True,FieldLawInput
distance_corrected_harmonic_coupling,B,0.0,satisfied,True,FieldLawInput
damping_and_lag_corrected_harmonic_clock,C,1.746359451998226e-14,closed,True,FieldLawInput
dfi_memory_kernel_in_waveforms_no_extra_memory_imprint,A,0.0,satisfied,True,RippleInput
flowpoint_boundary_mode_conversion_pure_mode_propagation,A,0.0,satisfied,True,RippleInput
shock_onset_self_steepening_threshold_no_shock_propagation,A,0.0,satisfied,True,RippleInput
stochastic_background_tilt_n_e_standard_gr_tilt_n_t,A,0.0,satisfied,True,RippleInput
environment_dependent_group_velocity_mapping_uniform_propagation,A,0.0,satisfied,True,RippleInput
invertible_source_transport_detection_map_non_invertible_degeneracy,A,0.0,satisfied,True,RippleInput
appendix_wide_gravitational_ripple_wavefront_cross_complex_closure_and_computational_falsification_i,A,0.0,satisfied,True,RippleInput
flowpoint_resolved_dfi_memory_transfer,B,8.973449613217548e-19,satisfied,False,RippleInput
shock_gated_stochastic_tilt_production,B,0.0,satisfied,False,RippleInput
environment_tomography_information_metric,B,1.2266347333466993e-18,satisfied,False,RippleInput
memory_shock_environmental_reconstruction,C,3.336446474703022e-16,numerical_candidate,False,RippleInput
