theorem_complex_id,level,residual_norm,closure_status,exact_semantics,sample_type
locality_decomposition_nonlocal_entropic_divergence,A,0.0,satisfied,True,FieldLawInput
emergent_spiral_density_wave_spiral_dissolution,A,0.0,satisfied,True,FieldLawInput
entropic_curvature_superposition_duality,A,0.0,satisfied,True,FieldLawInput
locality_driven_gravity::elastic_entropic_energy_equivalence,A,0.0,satisfied,True,FieldLawInput
locality_weighted_spiral_order,B,0.0,satisfied,True,FieldLawInput
curvature_driven_elastic_energy_production,B,0.0,satisfied,True,FieldLawInput
locality_energy_morphogenesis_closure,C,6.392696568461951e-14,closed,True,FieldLawInput
locality_driven_rotation_curve_duality,A,4.440892098500626e-16,satisfied,True,LocalityGravityInput
spiral_pitch_angle_gradient_duality,A,0.0,satisfied,True,LocalityGravityInput
entropic_screening_nonlocal_curvature_mixing,A,0.0,satisfied,True,LocalityGravityInput
halo_structure_formation_duality,A,0.0,satisfied,True,LocalityGravityInput
entropic_gradient_filament_formation_duality,A,0.0,satisfied,True,LocalityGravityInput
locality_confinement_stability_duality,A,0.0,satisfied,True,LocalityGravityInput
entropic_localization_cluster_stability_duality,A,0.0,satisfied,True,LocalityGravityInput
localized_curvature_information_preservation_duality,A,2.220446049250313e-16,satisfied,True,LocalityGravityInput
cosmic_web_emergence_homogenization_duality,A,0.0,satisfied,True,LocalityGravityInput
appendix_wide_locality_driven_gravity_cross_complex_closure_and_computational_falsification_interfac,A,0.0,satisfied,True,LocalityGravityInput
rotation_pitch_coupling_invariant,B,5.003707553108401e-17,satisfied,False,LocalityGravityInput
screened_halo_response,B,0.0,satisfied,False,LocalityGravityInput
confined_filament_persistence,B,0.0,satisfied,False,LocalityGravityInput
information_bearing_cluster_web_stability,B,0.0,satisfied,False,LocalityGravityInput
screened_rotation_halo_geometry,C,2.994942650240715,open,False,LocalityGravityInput
information_preserving_cosmic_network_closure,C,2.219524165221005,open,False,LocalityGravityInput
