Iterations,Approximated Pi,Actual Pi,Difference
1,4.0,3.141592653589793,0.8584073464102069
1001,3.1425916543395442,3.141592653589793,0.0009990007497511222
2001,3.1420924036835256,3.141592653589793,0.0004997500937324872
3001,3.1419258758397897,3.141592653589793,0.00033322224999654537
4001,3.1418425911015158,3.141592653589793,0.0002499375117226421
5001,3.1417926135957908,3.141592653589793,0.00019996000599764585
6001,3.1417592924821482,3.141592653589793,0.00016663889235513096
7001,3.141735490326666,3.141592653589793,0.0001428367368729866
8001,3.1417176379662446,3.141592653589793,0.00012498437645147575
9001,3.1417037523562383,3.141592653589793,0.00011109876644521677
10001,3.1416926435905346,3.141592653589793,9.99900007414567e-05
11001,3.14168355441679,3.141592653589793,9.090082699669821e-05
12001,3.141675979979104,3.141592653589793,8.332638931074499e-05
13001,3.1416695707498894,3.141592653589793,7.691716009627925e-05
14001,3.1416640770594464,3.141592653589793,7.142346965327562e-05
15001,3.1416593158122303,3.141592653589793,6.666222243723041e-05
16001,3.1416551496837246,3.141592653589793,6.249609393149669e-05
17001,3.1416514736591505,3.141592653589793,5.8820069357423677e-05
18001,3.1416482060590565,3.141592653589793,5.555246926336466e-05
19001,3.141645282398769,3.141592653589793,5.2628808975718755e-05
20001,3.1416426510898874,3.141592653589793,4.999750009426762e-05
21001,3.1416402703699204,3.141592653589793,4.7616780127324176e-05
22001,3.1416381060692,3.141592653589793,4.5452479406904445e-05
23001,3.141636129960362,3.141592653589793,4.347637056900666e-05
24001,3.141634318520401,3.141592653589793,4.166493060786536e-05
25001,3.141632651989835,3.141592653589793,3.999840004187405e-05
26001,3.141631113649,3.141592653589793,3.8460059206713026e-05
27001,3.1416296892551236,3.141592653589793,3.7035665330531486e-05
28001,3.1416283666000266,3.141592653589793,3.571301023352902e-05
29001,3.1416271351593767,3.141592653589793,3.448156958363313e-05
30001,3.141625985812036,3.141592653589793,3.3332222242776766e-05
31001,3.141624910613751,3.141592653589793,3.225702395770469e-05
32001,3.14162390261326,3.141592653589793,3.124902346707259e-05
33001,3.1416229557018482,3.141592653589793,3.0302112055125008e-05
34001,3.141622064489471,3.141592653589793,2.941089967789523e-05
35001,3.141621224202061,3.141592653589793,2.8570612268019602e-05
36001,3.1416204305959847,3.141592653589793,2.7777006191609388e-05
37001,3.1416196798863774,3.141592653589793,2.7026296584242715e-05
38001,3.141618968686767,3.141592653589793,2.6315096973927865e-05
39001,3.1416182939579933,3.141592653589793,2.5640368200186003e-05
40001,3.1416176529648063,3.141592653589793,2.49993750132127e-05
41001,3.1416170432388206,3.141592653589793,2.438964902751195e-05
42001,3.1416164625467125,3.141592653589793,2.38089569193356e-05
43001,3.1416159088629176,3.141592653589793,2.3255273124522802e-05
44001,3.1416153803460003,3.141592653589793,2.2726756207180898e-05
45001,3.141614875318194,3.141592653589793,2.222172840093961e-05
46001,3.1416143922476425,3.141592653589793,2.173865784937945e-05
47001,3.1416139297328494,3.141592653589793,2.127614305624803e-05
48001,3.141613486489103,3.141592653589793,2.083289931009702e-05
49001,3.1416130613365643,3.141592653589793,2.0407746771144986e-05
50001,3.141612653189785,3.141592653589793,1.9999599992104322e-05
51001,3.1416122610484565,3.141592653589793,1.960745866336211e-05
52001,3.1416118839891927,3.141592653589793,1.923039939955018e-05
53001,3.141611521158313,3.141592653589793,1.8867568519986833e-05
54001,3.141611171765367,3.141592653589793,1.8518175573856155e-05
55001,3.1416108350773855,3.141592653589793,1.818148759236138e-05
56001,3.1416105104137633,3.141592653589793,1.7856823970152647e-05
57001,3.1416101971416444,3.141592653589793,1.7543551851240125e-05
58001,3.1416098946718263,3.141592653589793,1.7241082033159216e-05
59001,3.1416096024550466,3.141592653589793,1.6948865253496592e-05
60001,3.14160931997866,3.141592653589793,1.666638886677063e-05
61001,3.141609046763644,3.141592653589793,1.639317385082606e-05
62001,3.1416087823618826,3.141592653589793,1.612877208945207e-05
63001,3.1416085263536915,3.141592653589793,1.5872763898361342e-05
64001,3.1416082783456294,3.141592653589793,1.5624755836274318e-05
65001,3.14160803796846,3.141592653589793,1.5384378666993825e-05
66001,3.141607804875342,3.141592653589793,1.5151285548853366e-05
67001,3.1416075787401248,3.141592653589793,1.4925150331634995e-05
68001,3.1416073592558487,3.141592653589793,1.4705666055547795e-05
69001,3.1416071461333526,3.141592653589793,1.4492543559452287e-05
70001,3.1416069390999732,3.141592653589793,1.428551018012314e-05
71001,3.1416067378984405,3.141592653589793,1.4084308647355215e-05
72001,3.1416065422857495,3.141592653589793,1.388869595642106e-05
73001,3.141606352032237,3.141592653589793,1.3698442443921266e-05
74001,3.141606166920648,3.141592653589793,1.3513330854753036e-05
75001,3.1416059867453114,3.141592653589793,1.3333155518324702e-05
76001,3.1416058113113556,3.141592653589793,1.3157721562517821e-05
77001,3.1416056404340713,3.141592653589793,1.298684427819552e-05
78001,3.141605473938201,3.141592653589793,1.2820348407771576e-05
79001,3.1416053116573623,3.141592653589793,1.2658067569226716e-05
80001,3.1416051534335008,3.141592653589793,1.2499843707658442e-05
81001,3.1416049991163457,3.141592653589793,1.2345526552604014e-05
82001,3.141604848562973,3.141592653589793,1.21949731797244e-05
83001,3.141604701637353,3.141592653589793,1.2048047560053732e-05
84001,3.1416045582099166,3.141592653589793,1.1904620123459608e-05
85001,3.141604418157204,3.141592653589793,1.1764567410921245e-05
86001,3.1416042813614995,3.141592653589793,1.162777170637952e-05
87001,3.141604147710491,3.141592653589793,1.1494120697896903e-05
88001,3.141604017096965,3.141592653589793,1.1363507171679998e-05
89001,3.1416038894185463,3.141592653589793,1.1235828753175525e-05
90001,3.1416037645773898,3.141592653589793,1.1110987596651967e-05
91001,3.141603642479964,3.141592653589793,1.098889017070448e-05
92001,3.1416035230368013,3.141592653589793,1.0869447008232669e-05
93001,3.141603406162283,3.141592653589793,1.0752572489725054e-05
94001,3.1416032917744285,3.141592653589793,1.0638184635425318e-05
95001,3.141603179794714,3.141592653589793,1.0526204921035287e-05
96001,3.1416030701478777,3.141592653589793,1.041655808453612e-05
97001,3.1416029627617843,3.141592653589793,1.0309171991185195e-05
98001,3.1416028575672303,3.141592653589793,1.0203977437228673e-05
99001,3.141602754497795,3.141592653589793,1.0100908002019793e-05
100001,3.1416026534897203,3.141592653589793,9.999899927226608e-06
